Order Id,Order Date,Order Supplier,Order Quantity,Product Category,Product Name,Product Variant,Product Brand,Product Model,Product Size,Product Price,Product Quantity,Product Hyperlink
20250001,2/6/2025,Amazon,1,Personal Protective Equipment,Ear Plugs,Super Soft Foam,Lenicany,,32 decibels,4.99,30,https://a.co/d/7nNNKcH
20250001,2/6/2025,Amazon,1,Repair,Repair Patch,Nylon Waterproof Self-Adhesive,Willbond,,,7.99,8,https://a.co/d/cIvznfQ
20250001,2/6/2025,Amazon,1,Repair,Repair Adhesive,,Gear Aid,,3/4 ounce,8.99,1,https://a.co/d/370aIjM
20250001,2/6/2025,Amazon,1,Personal Protective Equipment,Hand Warmer,Air-Activated,HotHands,,,14.97,20,https://a.co/d/9JHQs1c
20250001,2/6/2025,Amazon,2,Personal Protective Equipment,Work Gloves,Insulated,Loccef,,Medium,19.9,2,https://a.co/d/0ZvlzW9
20250001,2/6/2025,Amazon,2,Personal Protective Equipment,Work Gloves,Insulated,Loccef,,Large,19.9,2,https://a.co/d/4kWkT32
20250001,2/6/2025,Amazon,2,Personal Protective Equipment,Work Gloves,Insulated,Loccef,,Extra Large,19.9,2,https://a.co/d/fyra2aS
20250001,2/6/2025,Amazon,1,Access Gear,Knee Pads,Lightweight Sleeves,Klein Tools,,Large\Extra Large,19.96,2,https://a.co/d/6D5bXP8
20250001,2/6/2025,Lowes,1,Access Gear,Knee Pads,Hard Shell,Kobalt,,,13.98,2,https://www.lowes.com/pd/Kobalt-Hard-Shell-Knee-Pads/5015724013?store=&cm_mmc=shp-_-c-_-prd-_-tol-_-ggl-_-PMAX_TOL_000_Priority_Item-_-5015724013-_-online-_-0-_-0&gad_source=1&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac_V1HYejlAi2NvE04oqk6ag0_jazrpjn7U0w1_JuIZFp8lqe2AJ_dwaAnIfEALw_wcB&gclsrc=aw.ds
20250001,2/6/2025,Amazon,3,Tools,Tape Measure,Self Lock,Komelon,,25 feet,12.99,1,https://a.co/d/hdlvzJi
20250001,2/6/2025,Amazon,6,Tools,Stick Ruler,Brass Wood,Lufkin,,6 feet,16.97,1,https://a.co/d/5f7gyB5
20250001,2/6/2025,Amazon,2,Tools,Weld Gauge,Stainless Steel,Riverweld,,1/4 inch,9.39,1,https://a.co/d/gSkBOAC
20250001,2/6/2025,Amazon,1,Repair,Duct Tape,,Duck,,60 yards,7.16,2,https://a.co/d/bcPiJth
20250001,2/6/2025,Amazon,3,Field Reporting,Clipboard,Metal Clamshell,Saunders,,,23.74,1,https://a.co/d/6PIsDwB
20250001,2/6/2025,,1,Field Reporting,Clipboard,Slim,,,,,1,
20250001,2/6/2025,Dell,1,Technology,Laptop,,Dell,Latitude 7350,,1689,1,https://www.dell.com/en-us/shop/dell-laptops/latitude-7350-detachable/spd/latitude-13-7350-detachable-laptop
20250001,2/6/2025,Phase II,1,Tools,D-Meter,Probe,Phase II,UTG2800-400,,163.75,1,
20250001,2/6/2025,Amazon,3,Personal Protective Equipment,Protective Particulate Respirator,KN95,CandyCare,,,10.95,20,https://a.co/d/8hsKqwP
20250001,2/6/2025,Walmart,3,Tools,Caliper,Outside Digital Gage,Fowler,,,83.17,1,https://www.walmart.com/ip/Fowler-74-554-630-6-Outside-Digital-Caliper/16494233?classType=REGULAR
20250001,2/6/2025,Amazon,2,Tools,Hammer,Brick Hammer,Glorousamc,,30 ounces,17.82,1,https://a.co/d/1z0HujI
20250002,4/22/2025,Amazon,1,Technology,Laptop,,Dell,Latitude 7410,,750,1,https://a.co/d/fnbhzKN
20250003,4/28/2025,Amazon,2,Camera,Battery,Rechargable,OM System,LI-92B,,42.99,1,https://a.co/d/fq9Igyd
20250004,6/9/2025,Amazon,2,Tools,Tape Measure,,DeWalt,Tough Series,25 feet,21.99,1,https://a.co/d/eg1Mc6K
20250004,6/9/2025,Amazon,2,Tools,Tape Measure,Open Fastback,Komelon,,100 feet,24.16,1,https://a.co/d/8osEeFz
20250004,6/9/2025,Amazon,1,Tools,Steel Ball Weight,,Bullet Weights,,30 ounces,28.16,3,https://a.co/d/e2Ndy5L
20250004,6/9/2025,Amazon,1,Personal Protective Equipment,Hand Sanitizer,,Purell,Naturals,,25.99,4,https://a.co/d/ghkkP6F
20250004,6/9/2025,Amazon,3,Personal Protective Equipment,Sunscreen,SPF 50 Spray,Banana Boat,Sport,,7.29,1,https://a.co/d/eCTei2p
20250004,6/9/2025,Amazon,1,Portable Power,Battery,AAA,Energizer,,,17.99,32,https://a.co/d/1vgTvAS
20250004,6/9/2025,Amazon,1,Access Gear,Flashlight,Aluminum Pen,Workpro,,,8.99,4,https://a.co/d/c7i08jV
20250004,6/9/2025,Amazon,1,Gear,Tool Belt,3 Pockets,CLC Work Gear,,,19.99,1,https://a.co/d/1IgA0R4
20250004,6/9/2025,Amazon,1,Tools,Stick Ruler,Brass Wood,Lufkin,,6 feet,12.73,1,https://a.co/d/2V0eKYk
20250004,6/9/2025,Amazon,1,Tools,Stick Ruler,Extension,Wiha,MaxiFlex,6 feet,26.08,1,https://a.co/d/czb4zua
20250004,6/9/2025,Amazon,2,Tools,Stick Ruler,Plastic,TPMT Co,,6-1/2 feet,13.99,1,https://a.co/d/0eKRjOW
20250005,7/30/2025,Amazon,1,Tie Down,Ratchet Straps,Commercial,SmartStraps,,14 feet,20.47,2,https://a.co/d/7s59aoO
20250005,7/30/2025,Amazon,1,Technology Protection,Computer Case,,Targus,Dell Latitude 7320 Detachable,,45.99,1,https://a.co/d/aCC7HXz
20250005,7/30/2025,Amazon,1,Access Equipment,Camera Pole Adapter,Joint Angle,Bruislard,,,8.73,2,https://a.co/d/a1rl6oY
20250005,7/30/2025,Amazon,2,Tools,Hammer,Brick Hammer,Estwing,,22 ounces,33.5,1,https://a.co/d/6xnw1tG
20250005,7/30/2025,Amazon,1,Technology,USB Adapter,USB-C to USB-A,Elebase,,,9.99,4,https://a.co/d/bQW7EzI
20250006,8/18/2025,Amazon,2,Tools,Caliper,Analog,Spurtar,,,16.99,2,https://a.co/d/cXHvute
20250006,8/18/2025,Lowe's,1,Tools,Tape Measure,Fiberglass,Kobalt,,300 feet,32.98,1,https://www.lowes.com/pd/Kobalt-300-ft-Long-Tape/4667543
20250006,8/18/2025,Amazon,3,Tools,Lumber Crayons,Hex,Dixon,,4-1/2 inches x 1/2 inch,13.5,12,https://a.co/d/2DLY327
20250006,8/18/2025,Amazon,3,Tools,Stick Ruler,Fiberglass,Klein Tools,,6 feet,22.94,1,https://a.co/d/bhVOOWc
20250006,8/18/2025,Home Depot,1,Access Gear,Machete,,Fiskars,,15 inches,34.98,1,https://www.homedepot.com/p/Fiskars-15-in-Steel-Blade-Clearing-Machete-Knife-with-Sheath-for-Brush-Cutting-Gardening-Landscaping-Bushcraft-385091-1009/206398488
20250007,8/24/2025,Amazon,1,Technology,Camera,Waterproof Shockproof,Olympus,TG-7,,499.99,1,https://a.co/d/54ccwyN
20250007,8/24/2025,Ebay,1,Technology,Camera,Waterproof Shockproof,Olympus,TG-6,,,1,https://www.ebay.com/sch/i.html?_nkw=olympus+tg-6&_sacat=0&_from=R40&_trksid=p2322090.m570.l1313
20250007,8/24/2025,Amazon,1,Access Equipment,Camera Pole,Extension,DocaZoo,,30 feet,109.99,1,https://a.co/d/7bJ7yJD
20250007,8/24/2025,Lowe's,1,Access Equipment,Ladder,Extension,Werner,,24 feet,299,1,https://www.lowes.com/pd/Werner-D1200-Aluminum-24-ft-Type-2-225-lbs-Extension-Ladder/1115317?store=1878&cm_mmc=shp-_-c-_-prd-_-bdm-_-ggl-_-CRP_SHP_LIA_BDM_Online_C-D-_-1115317-_-local-_-0-_-0&gad_source=1&gclid=CjwKCAjw47i_BhBTEiwAaJfPpi5wX17JbaaHb-J7d9fFtnbOk-V1NadNiTjMvIXu0f1r3nLxgxU-iRoC6YMQAvD_BwE&gclsrc=aw.ds
20250008,9/16/2025,Amazon,1,Technology Protection,Camera Screen Protector,Tempered Glass,iDaPro,,,7.99,2,https://a.co/d/iCgvZNf
